,exp,celltype,celltype_n,modality,file,atlas_name,sum_stat,baseline_pct,umap_pct,scale,clip,clip_soft,task
0,BasalGanglia-STR-D1-MSN_ATAC,BasalGanglia-STR-D1-MSN,156508,ATAC,./Data/source/ATAC_bw/STR_D1_MSN.bw,BasalGanglia,mean,0.5,0.5,80.0,3.2,0.8,regression
1,BasalGanglia-STR-D1-MSN_K27Ac,BasalGanglia-STR-D1-MSN,156508,K27Ac,./Data/source/bamCoverage_bw/STR_D1_MSN.bam_merge_A.bw,BasalGanglia,mean,0.5,0.5,2.0,128.0,32.0,regression
2,BasalGanglia-STR-D1-MSN_K27Me3,BasalGanglia-STR-D1-MSN,156508,K27Me3,./Data/source/bamCoverage_bw/STR_D1_MSN.bam_merge_B.bw,BasalGanglia,mean,0.5,0.5,2.0,128.0,32.0,regression
3,BasalGanglia-STR-D1-MSN_K9Me3,BasalGanglia-STR-D1-MSN,156508,K9Me3,./Data/source/bamCoverage_bw/STR_D1_MSN.bam_merge_C.bw,BasalGanglia,mean,0.5,0.5,5.5,48.0,12.0,regression
4,BasalGanglia-STR-D1-MSN_RNAminus,BasalGanglia-STR-D1-MSN,156508,RNAminus,./Data/source/ENCODE_RNA_bw/STR_D1_MSN.bam_merge_minusUniq.bw,BasalGanglia,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,regression
5,BasalGanglia-STR-D1-MSN_RNAplus,BasalGanglia-STR-D1-MSN,156508,RNAplus,./Data/source/ENCODE_RNA_bw/STR_D1_MSN.bam_merge_plusUniq.bw,BasalGanglia,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,regression
6,BasalGanglia-STR-D2-MSN_ATAC,BasalGanglia-STR-D2-MSN,151486,ATAC,./Data/source/ATAC_bw/STR_D2_MSN.bw,BasalGanglia,mean,0.5,0.5,80.0,3.2,0.8,regression
7,BasalGanglia-STR-D2-MSN_K27Ac,BasalGanglia-STR-D2-MSN,151486,K27Ac,./Data/source/bamCoverage_bw/STR_D2_MSN.bam_merge_A.bw,BasalGanglia,mean,0.5,0.5,2.0,128.0,32.0,regression
8,BasalGanglia-STR-D2-MSN_K27Me3,BasalGanglia-STR-D2-MSN,151486,K27Me3,./Data/source/bamCoverage_bw/STR_D2_MSN.bam_merge_B.bw,BasalGanglia,mean,0.5,0.5,2.0,128.0,32.0,regression
9,BasalGanglia-STR-D2-MSN_K9Me3,BasalGanglia-STR-D2-MSN,151486,K9Me3,./Data/source/bamCoverage_bw/STR_D2_MSN.bam_merge_C.bw,BasalGanglia,mean,0.5,0.5,5.5,48.0,12.0,regression
10,BasalGanglia-STR-D2-MSN_RNAminus,BasalGanglia-STR-D2-MSN,151486,RNAminus,./Data/source/ENCODE_RNA_bw/STR_D2_MSN.bam_merge_minusUniq.bw,BasalGanglia,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,regression
11,BasalGanglia-STR-D2-MSN_RNAplus,BasalGanglia-STR-D2-MSN,151486,RNAplus,./Data/source/ENCODE_RNA_bw/STR_D2_MSN.bam_merge_plusUniq.bw,BasalGanglia,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,regression
12,BasalGanglia-Oligodendrocyte_ATAC,BasalGanglia-Oligodendrocyte,132243,ATAC,./Data/source/ATAC_bw/Oligodendrocyte.bw,BasalGanglia,mean,0.5,0.5,80.0,3.2,0.8,regression
13,BasalGanglia-Oligodendrocyte_K27Ac,BasalGanglia-Oligodendrocyte,132243,K27Ac,./Data/source/bamCoverage_bw/Oligodendrocyte.bam_merge_A.bw,BasalGanglia,mean,0.5,0.5,2.0,128.0,32.0,regression
14,BasalGanglia-Oligodendrocyte_K27Me3,BasalGanglia-Oligodendrocyte,132243,K27Me3,./Data/source/bamCoverage_bw/Oligodendrocyte.bam_merge_B.bw,BasalGanglia,mean,0.5,0.5,2.0,128.0,32.0,regression
15,BasalGanglia-Oligodendrocyte_K9Me3,BasalGanglia-Oligodendrocyte,132243,K9Me3,./Data/source/bamCoverage_bw/Oligodendrocyte.bam_merge_C.bw,BasalGanglia,mean,0.5,0.5,5.5,48.0,12.0,regression
16,BasalGanglia-Oligodendrocyte_RNAminus,BasalGanglia-Oligodendrocyte,132243,RNAminus,./Data/source/ENCODE_RNA_bw/Oligodendrocyte.bam_merge_minusUniq.bw,BasalGanglia,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,regression
17,BasalGanglia-Oligodendrocyte_RNAplus,BasalGanglia-Oligodendrocyte,132243,RNAplus,./Data/source/ENCODE_RNA_bw/Oligodendrocyte.bam_merge_plusUniq.bw,BasalGanglia,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,regression
18,BasalGanglia-Astrocyte_ATAC,BasalGanglia-Astrocyte,39185,ATAC,./Data/source/ATAC_bw/Astrocyte.bw,BasalGanglia,mean,0.5,0.5,80.0,3.2,0.8,regression
