dim,cell_type,modality,trial,task,file,sum_stat,baseline_pct,umap_pct,scale,clip,clip_soft,label_dim
0,BasalGanglia-ACx-MEIS2-GABA,ATAC,BasalGanglia-ACx-MEIS2-GABA_ATAC,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-ACx-MEIS2-GABA_ATAC.h5,mean,0.5,0.5,80.0,3.2,0.8,0
1,BasalGanglia-ACx-MEIS2-GABA,K27Ac,BasalGanglia-ACx-MEIS2-GABA_K27Ac,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-ACx-MEIS2-GABA_K27Ac.h5,mean,0.5,0.5,2.0,128.0,32.0,1
2,BasalGanglia-ACx-MEIS2-GABA,K27Me3,BasalGanglia-ACx-MEIS2-GABA_K27Me3,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-ACx-MEIS2-GABA_K27Me3.h5,mean,0.5,0.5,2.0,128.0,32.0,2
3,BasalGanglia-ACx-MEIS2-GABA,K9Me3,BasalGanglia-ACx-MEIS2-GABA_K9Me3,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-ACx-MEIS2-GABA_K9Me3.h5,mean,0.5,0.5,5.5,48.0,12.0,3
4,BasalGanglia-ACx-MEIS2-GABA,RNAminus,BasalGanglia-ACx-MEIS2-GABA_RNAminus,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-ACx-MEIS2-GABA_RNAminus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,4
5,BasalGanglia-ACx-MEIS2-GABA,RNAplus,BasalGanglia-ACx-MEIS2-GABA_RNAplus,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-ACx-MEIS2-GABA_RNAplus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,5
6,BasalGanglia-Astrocyte,ATAC,BasalGanglia-Astrocyte_ATAC,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-Astrocyte_ATAC.h5,mean,0.5,0.5,80.0,3.2,0.8,6
7,BasalGanglia-Astrocyte,K27Ac,BasalGanglia-Astrocyte_K27Ac,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-Astrocyte_K27Ac.h5,mean,0.5,0.5,2.0,128.0,32.0,7
8,BasalGanglia-Astrocyte,K27Me3,BasalGanglia-Astrocyte_K27Me3,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-Astrocyte_K27Me3.h5,mean,0.5,0.5,2.0,128.0,32.0,8
9,BasalGanglia-Astrocyte,K9Me3,BasalGanglia-Astrocyte_K9Me3,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-Astrocyte_K9Me3.h5,mean,0.5,0.5,5.5,48.0,12.0,9
10,BasalGanglia-Astrocyte,RNAminus,BasalGanglia-Astrocyte_RNAminus,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-Astrocyte_RNAminus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,10
11,BasalGanglia-Astrocyte,RNAplus,BasalGanglia-Astrocyte_RNAplus,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-Astrocyte_RNAplus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,11
12,BasalGanglia-CN-Cholinergic-GABA,ATAC,BasalGanglia-CN-Cholinergic-GABA_ATAC,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-CN-Cholinergic-GABA_ATAC.h5,mean,0.5,0.5,80.0,3.2,0.8,12
13,BasalGanglia-CN-Cholinergic-GABA,K27Ac,BasalGanglia-CN-Cholinergic-GABA_K27Ac,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-CN-Cholinergic-GABA_K27Ac.h5,mean,0.5,0.5,2.0,128.0,32.0,13
14,BasalGanglia-CN-Cholinergic-GABA,K27Me3,BasalGanglia-CN-Cholinergic-GABA_K27Me3,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-CN-Cholinergic-GABA_K27Me3.h5,mean,0.5,0.5,2.0,128.0,32.0,14
15,BasalGanglia-CN-Cholinergic-GABA,K9Me3,BasalGanglia-CN-Cholinergic-GABA_K9Me3,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-CN-Cholinergic-GABA_K9Me3.h5,mean,0.5,0.5,5.5,48.0,12.0,15
